household_key,total_sales,total_baskets,total_purchase_days,first_purchase_day,last_purchase_day,coupon_discount_abs,deal_discount_abs,coupon_sales,deal_sales,coupon_baskets,deal_baskets,first_coupon_day,last_coupon_day,coupon_redemptions,redeemed_campaigns,coupon_user_flag,coupon_dependency_ratio,deal_dependency_ratio,pre_90d_sales,post_30d_sales,post_30d_baskets,post_60d_sales,post_60d_baskets,post_90d_sales,post_90d_baskets,full_price_post_90d_sales,deal_post_90d_sales,available_post_days,post_coupon_repeat_flag,full_price_after_coupon_flag,deal_only_after_coupon_flag,post_90d_incremental_vs_pre_90d,subsidy_efficiency,segment,recency_days,frequency_baskets,monetary_sales,avg_basket_value,deal_strategy_recommendation
341,393.5,30,26,106,637,6.19,102.33,18.32,177.89,4.0,21,,,0.0,0.0,False,0.046557,0.452071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,74,30,393.5,13.116667,Winback Test
2454,392.87,30,28,85,704,0.0,44.68,0.0,152.94,0.0,19,,,0.0,0.0,False,0.0,0.389289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Needs Attention,7,30,392.87,13.095667,No Deal Needed
2157,390.7,12,11,39,598,7.0,231.98,8.99,290.85,3.0,11,,,0.0,0.0,False,0.02301,0.744433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,113,12,390.7,32.558333,Winback Test
1339,390.16,6,6,52,701,0.0,82.18,0.0,264.52,0.0,5,,,0.0,0.0,False,0.0,0.677978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,10,6,390.16,65.026667,Winback Test
783,387.34,17,16,27,586,4.0,128.29,4.5,206.34,2.0,16,,,0.0,0.0,False,0.011618,0.53271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,125,17,387.34,22.784706,Winback Test
206,386.6,15,13,60,655,0.6,77.12,0.0,178.03,1.0,14,,,0.0,0.0,False,0.0,0.460502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,56,15,386.6,25.773333,Winback Test
267,385.56,26,24,46,675,4.15,37.45,10.0,134.59,1.0,17,,,0.0,0.0,False,0.025936,0.349077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,36,26,385.56,14.829231,Winback Test
838,384.69,32,30,46,710,0.0,59.83,0.0,156.69,0.0,27,,,0.0,0.0,False,0.0,0.407315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Needs Attention,1,32,384.69,12.021562,No Deal Needed
465,382.55,44,42,76,696,0.0,66.42,0.0,161.23,0.0,28,,,0.0,0.0,False,0.0,0.421461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,15,44,382.55,8.694318,Winback Test
629,377.49,27,26,14,630,1.0,65.0,5.99,173.51,1.0,22,,,0.0,0.0,False,0.015868,0.459641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,81,27,377.49,13.981111,Winback Test
1736,374.48,22,22,102,630,0.0,98.35,0.0,210.02,0.0,18,,,0.0,0.0,False,0.0,0.560831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,81,22,374.48,17.021818,Winback Test
528,373.83,17,15,5,705,0.0,40.0,0.0,123.67,0.0,14,,,0.0,0.0,False,0.0,0.330819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Needs Attention,6,17,373.83,21.99,No Deal Needed
1893,373.71,18,17,90,703,0.0,23.83,0.0,250.84,0.0,16,,,0.0,0.0,False,0.0,0.671216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Needs Attention,8,18,373.71,20.761667,No Deal Needed
1573,372.87,96,68,95,696,15.99,64.52,0.0,149.99,5.0,57,,,0.0,0.0,False,0.0,0.402258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Needs Attention,15,96,372.87,3.884062,No Deal Needed
651,370.53,8,7,74,531,1.76,116.04,0.0,215.45,1.0,8,,,0.0,0.0,False,0.0,0.581464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,180,8,370.53,46.31625,Winback Test
789,370.3,26,25,8,709,1.35,66.79,4.0,147.58,2.0,20,,,0.0,0.0,False,0.010802,0.398542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Needs Attention,2,26,370.3,14.242308,No Deal Needed
2320,369.59,25,24,60,686,0.0,37.06,0.0,133.97,0.0,20,,,0.0,0.0,False,0.0,0.362483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,25,25,369.59,14.7836,Winback Test
2422,368.07,5,5,26,441,0.3,46.05,0.0,158.93,1.0,5,,,0.0,0.0,False,0.0,0.431793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,270,5,368.07,73.614,Winback Test
